"KorName","EngName","L","A"
"속초","Sokcho","38˚15´","128˚33´"
"대관련","Daegwallyeong","37˚40´","128˚43´"
"춘천","Chuncheon","37˚54´","127˚44´"
"강릉","Gangneung","37˚45´","128˚53´"
"서울","Seoul","37˚34´","126˚57´"
"인천","Incheon","37˚28´","126˚37´"
"원주","Wonju","37˚20´","127˚56´"
"울릉도","Ulleungdo","37˚28´","130˚53´"
"수원","Suwon","37˚16´","126˚59´"
"서산","Seosan","36˚46´","126˚29´"
"울진","Uljin","36˚59´","129˚24´"
"청주","Cheongju","36˚38´","127˚26´"
"대전","Daejeon","36˚22´","127˚22´"
"추풍령","Chupungnyeong","36˚13´","127˚59´"
"안동","Andong","36˚34´","128˚42´"
"포항","Pohang","36˚01´","129˚22´"
"군산","Gunsan","36˚00´","126˚45´"
"대구","Daegu","35˚53´","128˚37´"
"전주","Jeonju","35˚49´","127˚09´"
"울산","Ulsan","35˚33´","129˚19´"
"광주","Gwangju","35˚10´","126˚53´"
"부산","Busan","35˚06´","129˚01´"
"통영","Tongyeong","34˚50´","128˚26´"
"목포","Mokpo","34˚49´","126˚22´"
"여수","Yeosu","34˚44´","127˚44´"
"완도","Wando","34˚23´","126˚42´"
"제주","Jeju","33˚30´","126˚31´"
"서귀포","Seogwipo","33˚14´","126˚33´"
"진주","Jinju","35˚09´","128˚02´"
"강화","Ganghwa","37˚42´","126˚26´"
"양평","Yangpyeong","37˚29´","127˚29´"
"이천","Icheon","37˚15´","127˚29´"
"인제","Inje","38˚03´","128˚10´"
"홍천","Hongcheon","37˚41´","127˚52´"
"제천","Jecheon","37˚09´","128˚11´"
"보은","Boeun","36˚29´","127˚44´"
"천안","Cheonan","36˚46´","127˚07´"
"보령","Boryeong","36˚19´","126˚33´"
"부여","Buyeo","36˚16´","126˚55´"
"금산","Geumsan","36˚06´","127˚28´"
"부안","Buan","35˚43´","126˚42´"
"임실","Imsil","35˚36´","127˚17´"
"정읍","Jeongeup","35˚33´","126˚51´"
"남원","Namwon","35˚24´","127˚19´"
"주암","Juam","35˚04´","127˚14´"
"장릉","Jangheung","34˚41´","126˚55´"
"해남","Haenam","34˚33´","126˚34´"
"고흥","Goheung","34˚37´","127˚16´"
"영주","Yeongju","36˚52´","128˚31´"
"문경","Mungyeong","36˚37´","128˚08´"
"영덕","Yeongdeok","36˚31´","129˚24´"
"의성","Uiseong","36˚21´","128˚41´"
"구미","Gumi","36˚07´","128˚19´"
"영천","Yeongcheon","35˚58´","128˚57´"
"거창","Geochang","35˚40´","127˚54´"
"합천","Hapcheon","35˚33´","128˚10´"
"밀양","Miryang","35˚29´","128˚44´"
"산청","Sancheong","35˚24´","127˚52´"
"거제","Geoje","34˚53´","128˚36´"
"남해","Namhae","34˚48´","127˚55´"
